Registration Number,Action ID,Builder,Promoter Name,Project Name,District,Taluka,Project Type,Approved On,Proposed Completion Date,Proposed Completion Date At Registration,Project Address,Latitude,Longitude,Total Units,Has Quarterly Update,Units Booked (Q3_FY25-26),Units Available (Q3_FY25-26),Units Booked (Q4_FY25-26),Units Available (Q4_FY25-26),Units Booked (Q1_FY26-27),Units Available (Q1_FY26-27)
PRM/KA/RERA/1251/309/PR/171015/000833,1080,Legacy Global,Legacy Global Projects Private Limited,Legacy Eldora,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2017-10-15,2020-08-31,2019-08-31,"Kogilu Village, Yelahanka",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/171015/000834,1081,FortunaConstructions India Private Limited,FortunaConstructions India Private Limited,Fortuna Acacia,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2017-10-15,2021-03-31,2020-03-31,"Syno.88/1-P1, Sahakar Nagar, Byatarayanapura village, Yelahanka Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171208/000925,1084,NANDI DEVELOPERS,Nandi Housing Private Limited,Nandi Citadel,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-12-08,2022-03-31,2019-12-31,"22 23 24 Chandrashekarpura, Begur Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171015/000847,1090,RR. ENTERPRISES,RR. ENTERPRISES,ROSHAN PLATINUM APARTMENT,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-10-15,2019-09-30,2018-09-30,"No. 1337/83/1 & 83/2 Arkere Village, Begur Hobli Ward No. 193",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/170922/000838,1091,Kolte-Patil,KOLTE PATIL DEVELOPERS LTD,MIRABILIS,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-09-22,2021-10-29,2021-04-29,"SY NO. 71 OF HORAMAVU AGARA, VILLAGE, K. R PURAM HOBLI, BANGALORE EAST TALUK",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171123/000874,1092,SATWI INFRA,SATWI INFRA,SATWI'S THAVIL,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-11-23,2021-09-30,2019-12-30,"NO 18 PANATHUR , PANATHUR VARTHUR ROAD",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171015/000854,1094,Tranquil Realty Pvt Ltd,Tranquil Realty Pvt Ltd,Vaswani Menlo Park,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-15,2023-09-30,2022-12-31,"Sy no 62(P) & 63/2, Thubarhalli village, varthur hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171014/000841,1096,DSR,DSR INFRSTRUCTURE PVT LTD,DSR WHITE WATERS PHASE - II,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-14,2019-09-30,2019-09-30,"BBMP KHATHA NO.938, BBMP WARD NO.149, GUNJUR VILLAGE, VARTHUR HOBLI,",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/180406/001469,1097,KRISHNA ENTERPRISES (HOUSING & INFRASTRUCTURES) INDIA PRIVATE LIMITED,KRISHNA ENTERPRISES (HOUSING & INFRASTRUCTURES) INDIA PRIVATE LIMITED,KRISHNA SHELTON,Bengaluru Urban,Bengaluru North,Mixed Development,2018-04-06,2017-09-30,2017-09-30,"Sy.No 153/1, old Sy.No 153, Kattigeanahalli Village, Jala Hobli,",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171014/000853,1098,R. Krupaker Reddy,R. Krupaker Reddy,Calvin Royal residency,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-10-14,2018-08-13,2018-08-13,"Katha No: 248/3425/971/55, Ward No: 194,, Gottigere, Bommanahalli Zone, Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171028/000852,1099,ARK Infra Developers PVT Ltd,ARK Infra Developers PVT Ltd,ARK Cloud City Phase-2,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-28,2019-12-31,2019-12-31,"Sy No.119/1, Channasandra Village,, Near MVJ College Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/180119/000870,1101,GREEN MANSHION BUILDERS,GREEN MANSHION BUILDERS,Prime Manshion,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2018-01-19,2019-01-01,2019-01-01,"SY.NO.69-2 SHARMA ASHRAMA BELTHUR KADUGODI BANGALORE, SY.NO.69-2 SHARMA ASHRAMA BELTHUR KADUGODI BANGALORE",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
